,date,year,month,day,title,nouns_title,press,contents
3796,2021-09-15,2021,9,15,"[더벨]DGB대구은행, 캄보디법인 상업은행 안착 '과도기'",더벨 DGB 대구 은행 보디 법인 상업 은행 안착 과도기,더벨,DGB대구은행 캄보디아법인이 특수은행을 벗고 상업은행으로 본격 출범했다. 당분간 기존 영업 방식으로 수익성을 지키면서 기업대출 등 새로운 영역에서의 체급을 키우는 절차도 박차를 가하기로 했다. 현지 시장에선...
3797,2021-09-15,2021,9,15,대출 조이기 막차 타는 지방은행..신용대출 한도↓,대출 이기 막차 타다 지방 은행 신용 대출 한도,이데일리언론사 선정,15일 은행권에 따르면 DGB대구은행은 신용대출 뿐만 아니라 주택담보대출 등의 한도 조정 등도 검토한다는 방침이다. 금융 당국의 가계대출 축소 방침에 적극 따른다는 계획이다. DGB대구은행 관계자는 “신용대출 한도...
3798,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,국제뉴스,"사진제공=DGB대구은행 DGB대구은행(은행장 임성훈)은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과 관련, 14일 오후 진행한 메타버스 채용박람회를..."
3799,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,대한금융신문,"DGB대구은행(은행장 임성훈)은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과 관련, 14일 오후 진행한 메타버스 채용박람회를 성료했다고 밝혔다. '디지털이..."
3800,2021-09-15,2021,9,15,"DGB대구은행, 메타버스 활용 채용박람회…600여명 참여",DGB 대구 은행 메타 버스 활용 채용 박람회 600 여명 참여,뉴시스,"DGB대구은행은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과 관련해 메타버스 채용박람회를 진행했다고 15일 밝혔다. '디지털이 강한 DGB'를 표방, 금융권..."
3801,2021-09-15,2021,9,15,"""버는 만큼 빌려라""..신용대출 한도 줄이는 은행들",만큼 빌리다 신용 대출 한도 줄이다 은행,이데일리,DGB대구은행은 신용대출 뿐만 아니라 주택담보대출 한도 축소 등을 검토한다. 금융 당국의 가계대출 축소 방침에 적극 따른다는 방침이다. 은행권 관계자는 “최근 계속된 시중은행 대출 규제에 따른 풍선 효과가...
3802,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 성황리에 종료",DGB 대구 은행 2021 메타 버스 채용 박람회 성황리 종료,조세일보,DGB대구은행은 2021 6급 신입행원 공개 채용을 위한 메타버스 채용박람회가 14일 오후 성황리에 진행됐다고 밝혔다. 신입행원 서류전형 모집 기간 중 실시된 이번 채용설명회는 메타버스 플랫폼 ‘게더타운(Gather Town)’에서...
3803,2021-09-15,2021,9,15,"민간+공공 협력모델로 설립된 대구창업캠퍼스, 2년만에 창업놀이터로 뿌리내렸...",민간 공공 협력 모델 설립 되다 대구 창업 캠퍼스 2년 만에 창업 놀이터 뿌리 내리다,전자신문,"대구창업캠퍼스는 연구개발특구진흥재단(이사장 강병삼)과 DGB대구은행(은행장 임성훈)이 협력해 2019년 6월 조성한 창업지원 인프라다. 특구진흥재단이 정부사업을 활용, 공공서비스를 제공하고 대구은행은 입주공간과..."
3804,2021-09-15,2021,9,15,"DGB대구은행, 메타버스로 채용설명회 진행",DGB 대구 은행 메타 버스 채용 설명 진행,세계비즈,600여명 참석 대구은행 제공 DGB대구은행은 지난 14일 올해 6급 신입행원을 뽑기 위한 채용박람회를 메타버스 플랫폼 ‘게더타운’을 통해 진행했다고 15일 밝혔다. 대구은행에 따르면 채용 설명회엔 600여 명의 인원이...
3805,2021-09-15,2021,9,15,"[브리핑 대구] 대구경북상생장터 개장, 시·도민 한뿌리 염원을 꽃피운다",브리핑 대구 대구 경북 상생 장터 개장 도민 뿌리 염원 피우다,프라임경제,"■ DGB대구은행, 2021 메타버스 채용박람회 성료 ■ 김대권 수성구청장, 추석맞이 전통시장 장보기 행사 참석 ■ 수성구여성단체협의회, 손수건 사용하기 캠페인 [프라임경제] 대구시와 경북도는 '대구경북 한뿌리 공동선언..."
3806,2021-09-15,2021,9,15,"DGB대구은행, 6급 신입행원 공개 채용 메타버스 채용박람회 진행",DGB 대구 은행 신입 공개 채용 메타 버스 채용 박람회 진행,데일리한국,DGB대구은행이 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하는 2021년 6급 신입행원 공개 채용과 관련해 메타버스 채용박람회를 진행했다고 15일 밝혔다. 또 DGB대구은행은 코로나19에 따른 비대면...
3807,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,미디어펜,DGB대구은행은 '2021 6급 신입행원 공개 채용'을 위해 진행한 메타버스 채용박람회를 성료했다고 15일 밝혔다. DGB대구은행은 '2021 6급 신입행원 공개 채용'으로 지난 14일 진행한 메타버스 채용박람회를 성료했다고 밝혔다....
3808,2021-09-15,2021,9,15,"DGB대구은행, 메타버스 채용박람회 개최…600명 몰려",DGB 대구 은행 메타 버스 채용 박람회 개최 600 몰리다,파이낸셜투데이,DGB대구은행이 메타버스 채용 박람회를 열었다. 사진=DGB대구은행 DGB대구은행은  2021 6급 신입행원 공개 채용과 관련해 지난 14일 메타버스 채용박람회를 진행했다고 15일 밝혔다. 서류전형 모집 기간 중 메타버스...
3809,2021-09-15,2021,9,15,"은행권 대출 중단 '도미노'···지방은행, 신용대출 한도 축소",은행권 대출 중단 미노 지방 은행 신용 대출 한도 축소,금융소비자뉴스,"이에 따라 DGB대구은행은 신용대출 뿐만 아니라 주택담보대출 등 가계대출 전반에 대해 손을 댄다는 방침이다. DGB대구은행 관계자는 ""신용대출 한도 축소는 이미 검토되고 있었다""라면서 ""당국의 가계대출 규제 방침에..."
3810,2021-09-15,2021,9,15,"DGB대구은행, 메타버스 채용박람회 성료",DGB 대구 은행 메타 버스 채용 박람회,이뉴스투데이,[사진=DGB대구은행] DGB대구은행은 지난 14일 진행한 메타버스 채용박람회를 성료했다고 밝혔다. 올해 처음으로 메타버스를 활용한 채용설명회를 개최한 대구은행은메타버스 플랫폼 '게더타운(Gather Town)'를 통해...
3811,2021-09-15,2021,9,15,"DGB대구은행, 메타버스로 신입행원 공개 채용",DGB 대구 은행 메타 버스 신입 공개 채용,브릿지경제,"DGB대구은행, 메타버스로 신입행원 공개 채용 DGB대구은행은 능력 있는 인재채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 6급 신입행원 공개 채용과 관련해 메타버스 채용박람회를 진행했다고 15일..."
3812,2021-09-15,2021,9,15,DGB대구은행 '2021 메타버스 채용박람회' 600여명 몰렸다,DGB 대구 은행 2021 메타 버스 채용 박람회 600 여명 몰리다,매일신문,"DGB대구은행은 올해 6급 신입행원 공개 채용과 관련, 14일 오후 열린 메타버스 채용박람회가 성공적으로 마무리됐다고 15일 밝혔다. 코로나19에 따라 다수 인원이 모이기 어려운 가운데 대구은행은 비대면 디지털 소통이..."
3813,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,더퍼스트,"사진=DGB대구은행 DGB대구은행은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과 관련, 14일 오후 진행한 메타버스 채용박람회를 성료했다고 15일 밝혔다...."
3814,2021-09-15,2021,9,15,시중은행·지방은행 '대출 한도 조이기' 러시,시중 은행 지방 은행 대출 한도 이기 러시,매일신문,"DGB대구은행 역시 신용대출과 주택담보대출 등 가계대출 전반에 대해 대출 한도를 줄일 방침이다. DGB대구은행 관계자는 ""금융당국의 가계대출 규제 방침에 따라 구체적인 조치를 검토 중""이라고 했다."
3815,2021-09-15,2021,9,15,"DGB대구은행, ‘2021 메타버스 채용박람회’ 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,뉴스웨이,DGB대구은행이 6급 신입행원 공개 채용과 관련해 마련한 메타버스 채용박람회를 성공적으로 마쳤다고 15일 밝혔다. 대구은행은 지난 14일 메타버스 플랫폼 ‘게더타운’을 통해 채용 설명회를 진행한 바 있다. 사전 참가...
3816,2021-09-15,2021,9,15,"DGB대구은행, 신입행원 공채 '메타버스 채용박람회' 성료",DGB 대구 은행 신입 공채 메타 버스 채용 박람회,내외경제tv,"DGB대구은행, 2021 메타버스 채용박람회 성료 DGB대구은행은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과 관련, 14일 오후 진행한 메타버스 채용박람회를..."
3817,2021-09-15,2021,9,15,대구에도 메타버스 바람 분다,대구 에도 메타 버스 바람 분다,대구일보,DGB대구은행은 지난 14일 금융권 최초로 메타버스 채용 설명회를 가져 인기를 끌었다. 서버 수용 인원이 600여 명이지만 2배에 달하는 인원이 접수를 신청해 초대 코드를 전달받은 인원을 오전과 오후로 나눠 초대했다....
3818,2021-09-15,2021,9,15,"DGB대구은행, '2021 메타버스 채용박람회' 성료",DGB 대구 은행 2021 메타 버스 채용 박람회,지이코노미,정원2배 지원 … 600여명 온라인 공간 참여 G.ECONOMY(지이코노미) 홍종락 기자 | DGB대구은행은 능력 있는 인재 채용을 통한 경쟁력 제고와 일자리 창출을 위해 진행하고 있는 2021 6급 신입행원 공개 채용과...
3819,2021-09-15,2021,9,15,"DGB대구은행, 2021 메타버스 채용박람회 600여명 참여했다",DGB 대구 은행 2021 메타 버스 채용 박람회 600 여명 참여,인더뉴스,정원 2배 지원 인더뉴스 권지영 기자ㅣDGB대구은행(은행장 임성훈)은 2021 6급 신입행원 공개 채용과 관련 14일 오후 진행한 메타버스 채용박람회를 성료했다고 밝혔습니다. 이번 채용박람회는 ‘디지털이 강한 DGB’를 표방...
3820,2021-09-15,2021,9,15,"대구은행, 모바일뱅킹 강화 나섰지만...""접속 먹통, OTP 발급 봉변"" 고객 불만...",대구 은행 모바일 뱅킹 강화 나서다 접속 먹통 OTP 발급 봉변 고객 불만,위키리크스한국,"코로나19 이후 비대면 서비스 이용자가 급증함에 따라 DGB대구은행은 자사 모바일앱 '아이엠뱅크'를 활용해 비대면 금융상품 출시, 비대면 금융거래 보안 강화 등 모바일뱅킹 경쟁력 확보에 적극 나서고 있다. 하지만..."
3821,2021-09-15,2021,9,15,"DGB대구은행 – 대구대학교, 창업지원활성화 업무협약",DGB 대구 은행 대구대학교 창업 지원 활성화 업무 협약,대한금융신문,"DGB대구은행(은행장 임성훈)과 대구대학교는 15일(수) 오후 대구대학교에서 창업기업의 발굴 및 투자연계, 후속 사업화 지원 관련 상호 협력 등을 목적으로 상호업무협력 협약식'을 진행했다. DGB대구은행의..."
3822,2021-09-15,2021,9,15,"'연봉 이내' 신용대출, 전체 은행권 확산···'대출 절벽' 오나",연봉 이내 신용 대출 전체 은행권 확산 대출 절벽,서울파이낸스,"DGB대구은행, 광주은행, 경남은행 등 지방은행에서도 신용대출 한도 축소 검토에 들어갔다. 마이너스통장 대출 역시 은행권 최대 한도는 5000만원으로 조정된데다가 카카오뱅 역시 최대 3000만원으로 축소했다. 여기에..."
3823,2021-09-15,2021,9,15,"부산 사하구청 경사났네...안지해, 전진민과 혼복 우승 [실업정구]",부산 사하 구청 경사 나다 안다 전진 혼복 우승 실업 정구,스포츠서울,"개인전에서는 이번을 포함해 올해 2차례 우승했지만, 여자단체전에서는 NH농협은행, 문경시청, 옥천구청, DGB대구은행 등 강호들 틈바구니에서 다소 고전하고 있다. 2007년 국무총리기 때 16년 만에 여자단체전 우승을..."
