,date,year,month,day,press,nouns_contents,label
19,2021-08-03,2021,8,3,브릿지경제,비교 은행 최고 624% DGB 대 구 은행 에서 최저 144% 제주 은행 수준 낮다 보험 권 최고 1048% KDB 생명보험 에서 최저 192% DB 손 해보다 험로 증권 업계 비다 낮다 수준 이다 여기 에다 최근 증권사 IRP,1
20,2021-08-13,2021,8,13,FETV,대 구 은행 지난해 이다 DGB 광복절 예 적금 가입 이벤트 진행 8월 달 간 진행 되다 이번 이벤트 DGB 광복절 예 적금 상품 가입 고객 전원 에게 추첨 을 통해 기프티콘 을 제공 DGB 광복절 예 금은,1
21,2022-04-28,2022,4,28,소비자가 만드는 신문,DGB 금융 1분 기 당 기 순이익 전 년 대비 313% 증가 1622억 원 역대 최대 분기 실적 을 달성 주력 계열 사인 대 구 은행 행 장 임성훈 기준금리 인상 따르다 이자 이익 크게 늘다 1분 기 순이익 같다 기간,1
22,2021-04-19,2021,4,19,매일신문,DGB 대구 은행 경북 본부 김철호 대표 등 직원 19일 구미시 코로나 19 극복 을 위 마스크 1만 5천 장 300만원 상당 을 기탁 마스크 구미 종합 사회 복지관 등 구미 지역 복지관 3 곳 전달 되다 예정 이다 김철호,1
23,2022-04-23,2022,4,23,신아일보,DGB 대 구 은행   제 52 주년 지구 날 을 맞다 일주일 동안 지구 환경보호 주간 을 운영 23일 대 구 은행 따르다 행사 기간 지구 날인 22일 부터 오다 29일 까지다 대 구 은행 금년 을   ESG 경영 실천 원년,1
24,2020-05-07,2020,5,7,쿠키뉴스,대 구 은행 DGB 금융 전체 에서 차지 순이익 기여 723% 로 코로나 19 파장 인하다 시장 금리 하락 영향 을 받다 이자 이익 감소 다만 대 구 은행 원화 대출 금은 전 년 대비 50% 증가 건전성,-1
25,2019-12-03,2019,12,3,메트로신문,DGB 대 구 은행 3일 사회 적 배려 대상자 에게 미세먼지 대응 물품 팩 을 전달 전 날 전달 되다 물품 미세먼지 취약 아동 노인 을 우선 다문화 장애인 한부모 등 사회 적 배려 대상자 300 여명 에게 6 개,1
26,2021-04-27,2021,4,27,BBS NEWS,대구 은행 제공 DGB 금융 그룹 티웨이항공 오늘 27일 서울 티웨이항공 본사 에서 상호 협력 관계 구축 을 위 업무 협약 을 체결 대구 대표 금융 회사 DGB 금융 그룹 금융업 전문 역량 을 대 구 국제공항 을,1
27,2021-10-27,2021,10,27,아시아투데이,특히 금융 권 최초 로 도입 최고경영자 CEO 육 성 프로그램 을 통해 객관 적 이고 투명하다 절차 따르다 DGB 대 구 은행 장 을 선임 지배구조 선진 화 크게 기여 평 을 받다 뿐 아니다 지난 2018년 엔,1
28,2021-05-17,2021,5,17,TBC대구방송,2011년 5월 지주회사 로 출범 DGB 금융 그룹 출범 당시 대 구 은행 을 비롯 자회사 3 개다 지금 증권 회사 투자 사 까지 인수 9 개 로 늘다 총 자산 33조 8천억 원 에서 89조 6천억 원 165,1
29,2019-07-15,2019,7,15,뉴시스,DGB 대 구 은행 페이퍼 리스 Paperless 환경 을 기반 디지털 경쟁력 확보 위해 진행 태블릿 브랜 치 ODS Out Door Sales 및 창구 전자문서 PPR Paperless Process Reengineering 시스템 구축 을 완료 15일 밝히다,1
30,2020-07-26,2020,7,26,경북도민일보,사진 DGB 금융 그룹 제공 DGB 금융 그룹 지난 24일 DGB 대구 은행 제 2 본점 에서 제 5 기 DGB 금융 교육 봉사 단 발대식 을 가지다 올해 로 다섯 번째 발대식 을 진행 2020 DGB 금융 교육 봉사 단 DGB 금융 그룹 직원 30 명과 그룹,1
31,2021-01-28,2021,1,28,뉴시스,DGB 대 구 은행 대 적십자사 인도주의 사업 후원 을 위해 대 구 경북 지사 2021년 대 적십자사 특별 회비 7000만원 을 전달 대 적십자사 사랑 나눔 지난해 사회 공유 가치 기업 RCSV 대구 지역 1 호로,1
32,2021-11-30,2021,11,30,신아일보,경북 포항 방해 양 수산청 DGB 대구 은행 매일신문 함께 독도 사랑 후 원금 전달 식 을 포항 청 에서 가지다 30일 밝히다 올해 로 13 번 째 맞이 독도 사랑 후 원금 전달 행사 2009년 포항 청 대구 은행,1
33,2021-01-28,2021,1,28,FETV,대 구 은행 최근   경북 사 회복 협의 회로 부터 DGB 행복 꽃 피다 공 부방 사업 따르다 공로 로 감사패 수여 받다 사업 대 구 은행 경북 사 회복 지협 의회 함께 2018년 부터 추진 하고   있다   사업 이다 매년,1
34,2019-08-13,2019,8,13,매일신문,영 천 시민 무료 환승 을 이용 DGB 대 구 은행 에서 대경교통카드 충전 식 구입 거나 신용카드 교통카드 기능 을 추가 또 무료 환승 최초 이용 교통 수단 하차 후 30분 이내 다른 대중교통,1
35,2019-08-22,2019,8,22,오늘경제,오늘 경제 STARTUPTODAY ⓒ DGB 대구 은행 눈 보다 오늘 경제 DGB 대 구 은행 달 말 까지 대 구 은행 을 통해 2 학기 대학 등록금 을 납부 하고 이벤트 응모 고객 을 대상 이벤트 진행 참여 원하다 고객,1
36,2020-07-30,2020,7,30,뉴데일리,뉴데일리 강승탁 기자 DGB 대 구 은행 은행 장 김태오 기업 스마트 통합 자금 관리 서비스 제공 DGB iBranch 아이브 랜 치르다 개편 새롭다 출시 DGB 아이브 랜 치다 은행 증권 카드 사 등 금융기관 기업,1
37,2020-02-11,2020,2,11,국제뉴스,대구 신용 보증 재단   DGB 대구 은행   SH 수협 은행   신용 보증 기금   신한은행   우리은행   IBK 기업은행   하나은행   KDB 산업 은행   한국 수출입은행   SC 제 일 은행   한국 씨티 은행   등   15 개   금융기관   및   원 기관 이며   협의 회,1
38,2020-10-22,2020,10,22,더파워,DGB 대 구 은행 은행 장 임성훈 코로나 19 피해 소 상공 을 위해 실시 하고 있다 DGB 소상 공인 2 차 금융 지원 을 확대 다양하다 노력 을 있다 22일 밝히다 지난 5월 말 정부 2 차 지원 대출 프로그램 을 지방 은행,1
39,2021-03-25,2021,3,25,뉴시스,DGB 대 구 은행 디지털 을 통한 소통 브랜드 이미지 제 위해 대국민 SNS 홍보단 DGB Player 디플 을 모집 25일 밝히다 모집 기간 오다 4월 14일 까지 3 주간 이며 DGB 대 구 은행 공식 인스타그램 블로그,1
40,2021-03-01,2021,3,1,경상매일신문,DGB 대 구 은행 2일 우수 지식 재산 을 보유 지역 중소기업 대한 금융 지원 혁신 금융 활성화 기여 IP 담보 대출 상품 DGB IP 모 아모 아 담보 대출 을 출시 DGB IP 모 아모 아 담보 대출 기술 력,1
41,2019-11-12,2019,11,12,EBN,DGB 대 구 은행 금융 소비자 관점 편리 성 제 소비자 보호 활동 을 위해 실시 고객 아이디어 공모 수상자 발표 하고 수상 아이디어 현실 적용 을 면밀하다 검토 밝히다 2019 금융 소비자보호 고객 아이디어,1
42,2020-10-21,2020,10,21,경북매일신문,DGB 대 구 은행 20일 부터 11월 30일 까지 KB 국민카드 리브 메이트 앱 에서 대구 은행 주택 종합 청약 저축 가입 고객 전원 에게 5천 포인트 리 혜택 을 제공 KB 국민카드 리브 메이트 자산 관리 소비 분석 고객 별,1
43,2019-12-09,2019,12,9,뉴데일리,뉴데일리 이지연 기자 김태오 대 구 은행 장 Digital amp ; Global banking group 목표 로 100년 글로벌 지난 9월 말 업그레이드 로 새롭다 선보이다 DGB 통합 플랫폼 앱 지난 2015년 지역 은행 최초 출시 되다 바 있다 생활 형,1
44,2019-05-07,2019,5,7,매일경제TV,DGB 대 구 은행 하이 투자 증권 복합 금융 센터 1 호 출범 을 앞두다 DGB 금융 주가 복합 금융 센터 프리미엄 브랜드 명 Dignity 확정 것 알려지다 DGB 금융 관계자 직원 의견 외부 자문 등 여러,1
45,2020-03-23,2020,3,23,경북일보,DGB 대 구 은행 최근 관련 대출 업무 급증 주요 거점 점포 본부 지원 인력 을 순환 배치 등 원활하다 업무 진행 을 위해 총력 을 기울이다 있다 대 구 은행 코로나 19 피해 관련 기업 조기 정상화 유도 위해,1
46,2022-01-04,2022,1,4,NSP통신,DGB 대 구 은행 사회 공 헌 활동 홍보 활동 등 다양하다 활동 진행 최병수 기자 DGB 대구 은행 139130 대학생 만의 젊다 감성 을 공유 하고 특유 열정 참신하다 아이디어 로 은행 을 홍보 하고 지역 활성화 힘쓰다,1
47,2021-07-07,2021,7,7,스마트에프엔,DGB 대 구 은행 경상북도 7일 경북 여성 가족 플라자 목적 홀 에서 경북 지역 중소기업 가족 친 화 경영 문화 확산 및 가족 친 화 인증 활성화 지원 을 위 업무 협약 을 체결 밝히다 이번 협약 DGB 대 구 은행 경북,1
48,2020-06-22,2020,6,22,경상매일신문,DGB 대 구 은행 금융 위원회 발표 2019년 하반기 은행권 기술 금융 실적 평가 TECH 평가 에서 소형 은행 그룹 1위 차지 3회 연속 1 위 차지 기술 금융 이란 담보 부족하다 기술 력 성장 성 뛰어나다,1
49,2022-03-14,2022,3,14,EBN,앞 으로도 힘드다 시간 을 보내다 있다 고객 에게 조금 이나마 도움 되다 위해 최선 노력 을 기울이다 말 한편 DGB 생명 DGB 대구 은행 등 속 DGB 금융 그룹 그룹 차원 긴급 지원 을 펼치다 있다 EBN,1
50,2021-09-16,2021,9,16,대경일보,DGB 대 구 은행 대구대 지난 15일 대구대 에서 창업 기업 발굴 및 투 자연계 후속 사업 화 지원 관련 상호 협력 등 을 목적 상호 업무 협력 협약 식 을 가지다 DGB 대 구 은행 DGB 혁신 금융 컨설팅 센터 대구대학교,1
51,2022-03-17,2022,3,17,경북도민일보,사진 대구 은행 제공 DGB 대 구 은행 전월 실적 조건 및 할인 횟수 제한 없이 할인 혜택 을 주다 신 상품 DGB Z 체크카드 출시 17일 밝히다 DGB Z 체크카드 전월 실적 조건 없이 국내 가맹 점 이용 금액 02,1
52,2022-03-22,2022,3,22,경북일보,DGB 대구 은행 제 2 본점 모습 DGB 대 구 은행 급속하다 고령화 시대 진입 1 가구 증가 따르다 재산관리 위해 유언 대용 신탁 상품 DGB 대대손손 사랑 신탁 을 출시 22일 밝히다 유언 대용 신탁 이란 고객 위탁,1
53,2019-09-05,2019,9,5,한국경제,사진 김태오 DGB 대 구 은행 장이 디지털 매니저 도움 을 받다 은행 업무 보다 DGB 대구 은행 제공 DGB 대 구 은행 은행 장 김태오 창구 현금 종이 없다 디지털 창구 수목원 디지털 점 을 대구시 대곡 2 구,1
54,2021-12-07,2021,12,7,대구일보,DGB 대구 은행 제 12 노조 국제 뇌물 방지법 위반 혐의 등 기소 되다 김태오 DGB 금융 그룹 회장 퇴진 을 요구 하고 나서다 김태오 회장 같다 날 변호인 을 통해 혐의 사실 실체 적 진실 거리 있다 진실 규명,-1
55,2019-07-11,2019,7,11,서울경제,김 전 사외이사 선임 당시 레이크 투자 자문 대표 겸직 하고 있다 DGB 금융 대구 은행 사외이사 동시 맡다 수 없다 무사 통과 되다 것 이다 문제 시민단체 등 DGB 금융 규정 위반 사실 을 알리다 DGB 측은,-1
56,2019-09-06,2019,9,6,EBN,DGB 대 구 은행 아동 수당 수급 고객 에게 우대금리 지급 되다 DGB 아동 수 당 적금 을 금일 출시 밝히다 보다 상품 2019년 9월 정부 아동 수당 수급 대상자 확대 시행 발 맞추다 출시 되다 개인 고객 이면 누구 나 월,1
57,2021-09-09,2021,9,9,국제뉴스,이숭인 DGB 대구 은행 IMBANK 본부장 주은영 베스트 핀 대표 사진 제공 DGB 대구 은행 DGB 대 구 은행 은행 장 임성훈 베스트 핀 ㈜ 대표 주은영 지속 가능하다 협업 제휴 모델 을 개발 하고 차별 화 되다 상품 서비스 제공 을 위해 9일,1
58,2019-08-28,2019,8,28,일요시사,오다 16일 까지 캠페인 을 열다 자유 입출금 특판 독립유공자 및 후손 대상 예 적금 우대금리 제공 나서다 DGB 대 구 은행 광복절 을 기념 31% 금리 제공 파랑새 적금 1년 제을 오다 16일 까지 판매,1
59,2019-10-03,2019,10,3,대구신문,금융위 공항 에서 체크 때 외화 현찰 로 수령 수 있다 DGB 대 구 은행 항공사 통한 환전 서비스 혁신 금융 서비스 로 지정 이번 지정 대 구 은행 현행법 에서 금지 하고 있다 환 거래 업무 제 3 자인,1
60,2021-11-10,2021,11,10,더퍼스트,사진 DGB 대구 은행 DGB 대 구 은행 코로나 19 장기 화 따르다 지역 및 내 수 경제 침체 방지 위해 다양하다 금융 지원 정책 을 지속 적 확대 전 년 대비 85% 이상 서민 지원 대출 을 진행 등 실질 적 고객 편의 제,1
61,2021-06-29,2021,6,29,경북매일신문,DGB 대 구 은행 은행 장 임성훈 29일 IM 원샷 대출 한도 조회 서비스 실시 밝히다 IM 뱅크 에서 사용 수 있다 서비스 대 구 은행 에서 판매 중인 다양하다 종류 비대 신용 대출 상품 을 번 조회 하고 가입,1
62,2020-03-13,2020,3,13,미디어펜,DGB 금융 지주 DGB 대구 은행 경영 진도 사주 매입 동참 결과 올해 매입 사주 우리 사주다 약 8만 여주에 달 DGB 금융 지주 관계자 김 회장 사주 매입 을 통해 신 시장 공략 고객 가치 최우 선의,1
63,2021-06-25,2021,6,25,퍼블릭뉴스,퍼블릭 뉴스 김성현 기 ­ DGB 대 구 은행 호국보훈 달 6월 을 맞다 지난 23일 수 오후 대구 지방 보훈청 청장 박 신한 을 방문 보훈 가족 을 위 물품 전달 식 을 가지다 보다 물품 전달 식 보훈 가족 사랑 일환,1
64,2019-10-01,2019,10,1,아주경제,독도 사랑 의식 고취 및 영토 수호 정신 알리다 나서다 김민석 기자 kms 101 ajunewscom DGB 대 구 은행 최고 연 210% 금리 제공 2019 특판 독도 예금 을 1일 부터 한정 판매 밝히다 이번 특판 고객 에게,1
65,2020-06-03,2020,6,3,BBS NEWS,대구시 오늘 DGB 대구 은행 시청 영업 점 에서 권영진 시장 을 비롯 지역 주요 인사 참석 가운데 대구 행복 페이 출시 행사 가지다 대 구 행복 페이 시민 공모 로 선정 되다 대 구 사랑 상품권 공식 명칭,1
66,2021-06-16,2021,6,16,브레이크뉴스,DGB 대 구 은행 은행 장 임성훈 우수하다 능력 인력 채용 을 통한 일자리 창 추다 위해 오다 25일 까지 신용 리스크 관리 및 UXUI 기획 전 문 역 을 공개 채용 16일,-1
67,2021-04-19,2021,4,19,그린포스트코리아,현재 IBK 기업 BNK 부산 DGB 대 구 은행 NH 농협카드 에서 그린카드 v 2 운영 하고 있다 신한카드 에서는 별도 Deep ECO 카드 내다 Deep ECO 카드 나무 플레이 트 로 제작 돼다 친환경 활동 연 계 되다 업종 서 결제 시,1
68,2021-12-01,2021,12,1,대구일보,DGB 대 구 은행 오다 연말 까지 장기 미거 래 신탁 계좌 찾다 캠페인 을 실시 이번 캠페인 대상 신탁 만기일 또는 최종 거래 일로 부터 5년 이상 경과 계좌 대상 개인 연금 신탁 연금 저축 신탁,1
69,2020-11-26,2020,11,26,아주경제,연탄배달 봉사활동 피 민호 기자 pee 417 ajunewscom 권선 일 DGB 대구 은행 상주 지점 장 좌측 두번째 사진 DGB 대구 은행 상주 지점 제공 DGB 대 구 은행 상주 지점 지점 장 권선 일 봉사 단 지난 25일 상주시 연탄 3천 장을,1
70,2021-10-15,2021,10,15,뉴스락,이번 행사 DGB 대구 은행 창립 54 주년 및 DGB 금융 지주 창립 10 주년 을 기념 하고 ESG 경영 을 실천 위해 마련 돼다 DGB 금융 그룹 경북 지역 푸드 뱅크 사업 시설 경상북도 광역 푸드 뱅크 등 5 곳 10년 이상 노후,1
71,2020-08-20,2020,8,20,영남일보,DGB 대 구 은행 SK 텔레콤 함께 업계 최초 로 모바일 뱅킹 양자 보안 기술 을 적용 IM 뱅크 앱 서비스 앞두다 QRNG 기술 적용 및 공동 마케팅 추진 나서다 20일 밝히다 QRNG 양자 난수 발생 기 Quantum Random Number,1
72,2022-02-14,2022,2,14,브레이크뉴스,DGB 대 구 은행 은행 장 임성훈 다양하다 기프티콘 을 증정 외환 이벤트 실시 14일 밝히다 첫 외환 거래 시작 것 을 기념 오늘 우리 부터 ♥ 1일 로,1
73,2021-12-15,2021,12,15,뉴스웨이,디그 니 티 여의도 센터 대구 은행 여의도 지점 하이 투자 증권 여의도 WM 센터 결합 탄생 하이 투자 증권 빌딩 4 층 위치 있다 DGB 금융 여의도 센터 통해 계 열사 간 시너지 유도 하고 맞춤 형,-1
74,2020-12-09,2020,12,9,천지일보,DGB 대 구 은행 과의 협업 최대 5% 이율 T High 5 적금 KDB 산업 은행 공조 T High 5 적금 시즌 2 자유 입출금 예금 에도 2% 이자 지급 T 이득 통장 등 특화 상품 을 선보이다 금리 노마드 족 금리 높다 은행 을,1
75,2022-03-04,2022,3,4,NSP통신,DGB 금융 그룹 릴레이 캠페인 진행 수성동 본점 계단 오르다 페트병 수거 로 친환경 활동 최병수 기자 DGB 대구 은행 139130 DGB 금융 그룹 전 사적 실행 ESG 실천 운동 캠페인 참여 3월 달 간 수성동,1
76,2021-10-15,2021,10,15,더퍼스트,사진 대구 은행 DGB 대 구 은행 10월 노인 달 을 맞다 지난 14일 지역 취약 계층 어르신 을 위 ESG 경영 실천 일환 물품 나눔 행사 진행 15일 밝히다 금번 행사 DGB 대 구 은행 사회 공헌 활동 및 지역 경제,1
77,2021-06-29,2021,6,29,화이트페이퍼,사진 대구 은행 DGB 대 구 은행 은행 장 임성훈 29일   대 적십자사 대구 지사 회장 송준기 함께 안심 종합 사회 복지관 에서 행복 도시락 전달 봉사활동 을 진행 밝히다 행복 도시락 봉사활동 코로나 19 로,1
78,2020-02-24,2020,2,24,아시아경제,역시 22일 엔 DGB 대 구 은행 대구 가톨릭대 병원 출장소 경비원 코로나 19 1 차 양성 판정 을 받다 대 구 은행 해당 점포 폐쇄 하고 긴급 방역 을 실시 각 은행 영업 점 방역 강화 에도 힘쓰다 있다 은행,1
79,2019-10-21,2019,10,21,베타뉴스,해지 ▲ DGB 금융 지주 139130 박 규 전 대 구 은행 장 징역 1년 6월 확정 ▲ SK 가스 018670 음성 천연가스 발전 분 1천 447억원 처분 ▲ 삼 영 엔씨 065570 상장 적 격 성 실질 심사 대상 서 제외 ▲ 에스 맥,-1
80,2020-11-19,2020,11,19,전자신문,삼정 KPMG 회장 김 교태 DGB 대 구 은행 은행 장 임성훈 중소 중견 기업 을 위 각종 서비스 지원 을 골자 로 업무 협약 을 체결 19일 밝히다 이번 협약 양사 △ 인수합병 Mamp,1
81,2020-08-20,2020,8,20,테크M,사진 SK 텔레콤 제공 SK 텔레콤 DGB 대 구 은행 손잡다 내달 중순 5 세대 5 G 양자 보안 기술 을 적용 모바일 뱅킹 서비스 앱 IM 뱅 크다 선보이다 20일 밝히다 양자 보안 모바일 뱅킹 양자 보안 스마트폰 갤럭시 A 퀀텀,1
82,2022-04-28,2022,4,28,핀포인트뉴스,주력 계열 사인 DGB 대 구 은행 1분 기 순이익 전 년 동기 대비 297% 증가 1187억 원 을 기록 높다 인플레이션 따르다 기준금리 인상 영향 이자 이익 실적 개선 세다 지속 되다 것 예상 되다 비 은행,1
83,2021-02-05,2021,2,5,국제뉴스,좌 로부터 장 상수 대구광역시 의회 의장 김영오 대구광역시 상인 연합 회장 임성훈 DGB 대 구 은행 장 권영진 대구시 장 사진 제공 DGB 대구 은행 DGB 대 구 은행 은행 장 임성훈 설 명절 을 맞이 5일 금 오후 DGB 대구 은행,1
84,2020-07-02,2020,7,2,뉴스핌,사진 DGB 금융 김태오 DGB 금융 지주 회장 현재 DGB 대 구 은행 에서는 DGB 닥터 론 을 출시 등 의료 계 지원 방안 을 모색 하고 있다 이번 협약 을 통해 DGB 캐피탈 의료 장비 리스 지원 우대 하이 투자 증권 차별 화 되다,1
85,2021-01-06,2021,1,6,미디어펜,DGB 대 구 은행 신축년 새해 맞다 대 구 은행 모바일 앱 IM 뱅크 통해 7 주간 매주 혜택 을 제공 IM 뱅크 럭키 세븐 드림 위 크다 이벤트 실시 6일 밝히다 IM 뱅크 럭키 세븐 드림 위 크다 다음 달,1
86,2020-06-29,2020,6,29,뉴시스,찾아가다 맞춤 식 교육 관심 있다 대구 경북 소 상공 을 기반 협회 DGB 대구 은행 기업 경 영 컨설팅 센터 이재용 과장 O 537402843 통해 교육 협의 진행 수 있다 DGB 기업 경영 컨설팅 센터 관계자 많다,1
87,2021-04-09,2021,4,9,데일리안,DGB 대 구 은행 신종 코로나바이러스 로 침체 되다 지역 경기 활성화 하고 지역 대표 기업 지역 연 계 경제 활동 강화 위해 대구광역시 경상북도 대구 경북 핫 플 가보다 관광 금융 활성화 협약 식 을 진행 9일,1
88,2021-12-22,2021,12,22,뉴시스,DGB 대 구 은행 지역 지방 기업 최초 로 폐트병 파쇄 무인 수 거기 설치 DGB 대 구 은행 직원 시민 적극 적 참여 통한 환경보호 실천 및 취약 계층 아동 후원 을 위해 지역 지방 기업 최초 페트병 파쇄,1
89,2021-02-16,2021,2,16,데일리한국,달 말 까지 스타 이르다 상품권 매주 증정 이벤트 DGB 대 구 은행 금융 플랫폼 IM 뱅크 이용 고객 100만 명을 돌파 리뉴얼 비대 금융 플랫폼 성장 을 기념 다양하다 이벤트 실시 16일 밝히다,1
90,2020-10-27,2020,10,27,스마트에프엔,대해 DGB 금융 그룹 관계자 서울 을지로 있다 DGB 대구 은행 서 울 사무소 늘리다 지주회사 위 새롭다 공간 을 마련 방안 을 논의 하고 있다 금융 지주 서울 사무실 추가 마련 문제 아직 검토 단계 라고,-1
91,2021-12-03,2021,12,3,SR타임스,ⓒ DGB 대구 은행 SRT 에스 알 타임스 전 근 홍 기자 DGB 대 구 은행 은행 장 임성훈 대구 중구 남산 종합 사회 복지관 에서 대 적십자사 대구 지사 회장 송준기 함께 희망 도시락 전달 행사 실시 3일 밝히다 이번,1
92,2020-03-31,2020,3,31,신아일보,DGB 대 구 은행 은행 장 김태오 다음 달 1일 부터 오다 6월 말까지 금융 소외 계층 을 대상 DGB 새 출발 신용 회복 지원 프로그램 을 실시 31일 밝히다 프로그램 채무 조정 을 통한 회생 기회 부여 위해,1
